"Carrier","Departure Delay","Arrival Delay"
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-13.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
"AA",-1.00,-14.00
